Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:04,0.085,0.084,0.084,0.311,0.326,0.323,0.087,0.084,0.084,0.234,0.316,0.313,0.094,0.084,0.084,0.341,0.359,0.358,0.088,0.084,0.083,0.242,0.336,0.335,0.091,0.084,0.084,0.347,0.36,0.357,0.088,0.084,0.083,0.251,0.346,0.34,0.086,0.084,0.084,0.346,0.363,0.368,0.087,0.083,0.083,0.26,0.325,0.324,0.085,0.085,0.086,0.252,0.295,0.28,0.087,0.084,0.083,0.279,0.284,0.25,0.087,0.083,0.082,0.244,0.278,0.285,0.087,0.084,0.083,0.281,0.282,0.259,0.093,0.084,0.083,0.241,0.272,0.27,0.088,0.084,0.083,0.285,0.283,0.258,0.097,0.082,0.084,0.248,0.266,0.272,0.088,0.083,0.082,0.277,0.282,0.259
0:05:04,0.085,0.084,0.084,0.284,0.294,0.294,0.087,0.084,0.084,0.207,0.271,0.279,0.094,0.084,0.083,0.313,0.311,0.305,0.087,0.084,0.083,0.222,0.299,0.284,0.09,0.084,0.084,0.332,0.332,0.308,0.088,0.084,0.082,0.231,0.296,0.288,0.084,0.084,0.083,0.321,0.338,0.329,0.087,0.083,0.083,0.245,0.295,0.283,0.084,0.084,0.086,0.226,0.235,0.26,0.087,0.084,0.083,0.277,0.266,0.24,0.087,0.083,0.082,0.215,0.264,0.268,0.087,0.084,0.083,0.272,0.266,0.242,0.093,0.084,0.083,0.22,0.229,0.259,0.088,0.084,0.083,0.284,0.266,0.24,0.103,0.082,0.083,0.188,0.253,0.254,0.088,0.083,0.082,0.245,0.251,0.242
0:10:04,0.085,0.084,0.084,0.275,0.29,0.288,0.087,0.084,0.084,0.216,0.275,0.272,0.094,0.084,0.083,0.286,0.319,0.323,0.087,0.084,0.083,0.227,0.297,0.289,0.09,0.084,0.084,0.316,0.336,0.328,0.088,0.083,0.082,0.232,0.302,0.277,0.084,0.084,0.084,0.31,0.336,0.351,0.087,0.083,0.082,0.245,0.29,0.276,0.084,0.085,0.086,0.202,0.273,0.266,0.087,0.084,0.083,0.284,0.265,0.237,0.087,0.083,0.082,0.21,0.252,0.279,0.087,0.084,0.083,0.281,0.263,0.24,0.093,0.084,0.083,0.203,0.261,0.261,0.088,0.084,0.083,0.282,0.26,0.238,0.103,0.082,0.084,0.224,0.24,0.255,0.088,0.083,0.082,0.251,0.255,0.239
0:15:04,0.085,0.084,0.084,0.272,0.288,0.286,0.087,0.084,0.084,0.218,0.282,0.273,0.094,0.084,0.083,0.283,0.301,0.31,0.087,0.084,0.083,0.23,0.305,0.283,0.091,0.084,0.084,0.296,0.333,0.331,0.088,0.083,0.082,0.244,0.318,0.287,0.085,0.084,0.083,0.317,0.339,0.352,0.087,0.083,0.082,0.252,0.306,0.276,0.084,0.084,0.085,0.216,0.266,0.253,0.087,0.084,0.083,0.294,0.265,0.234,0.087,0.083,0.082,0.246,0.276,0.286,0.087,0.084,0.083,0.289,0.26,0.236,0.093,0.084,0.083,0.223,0.281,0.264,0.088,0.084,0.083,0.288,0.259,0.237,0.103,0.082,0.084,0.231,0.245,0.257,0.088,0.083,0.082,0.262,0.254,0.235
0:20:04,0.085,0.084,0.084,0.28,0.296,0.29,0.087,0.084,0.084,0.226,0.289,0.271,0.094,0.084,0.083,0.285,0.297,0.31,0.087,0.084,0.083,0.247,0.31,0.279,0.092,0.084,0.084,0.301,0.33,0.318,0.088,0.083,0.082,0.254,0.322,0.291,0.087,0.084,0.083,0.312,0.344,0.354,0.087,0.083,0.082,0.256,0.307,0.274,0.084,0.084,0.086,0.22,0.26,0.292,0.087,0.084,0.083,0.289,0.273,0.233,0.087,0.083,0.082,0.209,0.242,0.298,0.087,0.084,0.083,0.257,0.268,0.235,0.093,0.084,0.083,0.23,0.253,0.267,0.088,0.084,0.083,0.268,0.259,0.235,0.103,0.082,0.083,0.216,0.242,0.256,0.088,0.083,0.082,0.289,0.252,0.233
0:25:04,0.085,0.084,0.084,0.287,0.306,0.298,0.087,0.084,0.084,0.241,0.296,0.275,0.094,0.084,0.083,0.302,0.324,0.323,0.087,0.084,0.082,0.251,0.32,0.281,0.091,0.084,0.083,0.302,0.323,0.319,0.088,0.083,0.082,0.268,0.327,0.29,0.087,0.084,0.083,0.316,0.347,0.347,0.087,0.083,0.082,0.271,0.311,0.28,0.084,0.084,0.085,0.24,0.249,0.281,0.087,0.084,0.083,0.296,0.286,0.231,0.087,0.083,0.082,0.28,0.264,0.293,0.087,0.084,0.083,0.318,0.286,0.234,0.093,0.084,0.083,0.256,0.264,0.265,0.087,0.084,0.083,0.31,0.269,0.234,0.103,0.082,0.083,0.253,0.263,0.259,0.088,0.083,0.082,0.301,0.25,0.231
0:30:04,0.085,0.083,0.084,0.293,0.304,0.293,0.087,0.084,0.084,0.256,0.306,0.272,0.094,0.084,0.083,0.304,0.32,0.329,0.087,0.084,0.082,0.266,0.332,0.276,0.091,0.084,0.083,0.317,0.331,0.329,0.088,0.083,0.082,0.281,0.334,0.29,0.088,0.083,0.083,0.321,0.346,0.346,0.087,0.083,0.082,0.278,0.314,0.283,0.084,0.084,0.085,0.271,0.262,0.284,0.087,0.084,0.083,0.307,0.292,0.23,0.087,0.083,0.082,0.269,0.284,0.293,0.087,0.084,0.083,0.321,0.296,0.233,0.093,0.084,0.083,0.264,0.322,0.266,0.088,0.084,0.083,0.321,0.282,0.231,0.103,0.082,0.083,0.285,0.261,0.258,0.088,0.083,0.082,0.319,0.271,0.23
0:35:04,0.085,0.084,0.084,0.299,0.309,0.296,0.087,0.084,0.084,0.264,0.314,0.28,0.094,0.084,0.083,0.328,0.337,0.324,0.087,0.084,0.082,0.267,0.329,0.277,0.091,0.084,0.083,0.328,0.342,0.327,0.088,0.083,0.082,0.287,0.339,0.287,0.088,0.084,0.083,0.325,0.35,0.349,0.087,0.083,0.082,0.29,0.324,0.281,0.084,0.084,0.085,0.275,0.265,0.284,0.087,0.084,0.083,0.331,0.292,0.228,0.087,0.083,0.082,0.278,0.291,0.288,0.087,0.084,0.083,0.339,0.317,0.23,0.093,0.084,0.083,0.263,0.28,0.269,0.088,0.084,0.083,0.342,0.287,0.23,0.103,0.082,0.083,0.29,0.294,0.259,0.088,0.083,0.082,0.324,0.291,0.227
0:40:04,0.085,0.084,0.084,0.316,0.325,0.296,0.087,0.084,0.084,0.276,0.323,0.275,0.094,0.084,0.083,0.339,0.352,0.33,0.087,0.084,0.082,0.28,0.339,0.274,0.091,0.084,0.083,0.333,0.347,0.335,0.088,0.083,0.082,0.302,0.347,0.286,0.088,0.083,0.083,0.334,0.353,0.345,0.087,0.083,0.082,0.296,0.338,0.275,0.084,0.084,0.085,0.262,0.278,0.28,0.087,0.084,0.083,0.349,0.266,0.225,0.087,0.083,0.082,0.252,0.297,0.285,0.087,0.084,0.083,0.355,0.346,0.227,0.093,0.084,0.083,0.27,0.289,0.272,0.088,0.084,0.083,0.355,0.293,0.228,0.103,0.082,0.083,0.287,0.305,0.258,0.088,0.083,0.082,0.35,0.31,0.225
0:45:04,0.085,0.083,0.084,0.321,0.328,0.303,0.087,0.084,0.084,0.278,0.317,0.278,0.094,0.084,0.083,0.341,0.357,0.336,0.087,0.084,0.082,0.288,0.339,0.286,0.091,0.084,0.083,0.334,0.353,0.337,0.088,0.083,0.082,0.306,0.348,0.293,0.088,0.083,0.083,0.334,0.356,0.344,0.087,0.083,0.082,0.305,0.342,0.276,0.084,0.084,0.085,0.28,0.293,0.282,0.087,0.084,0.083,0.371,0.296,0.222,0.087,0.083,0.082,0.277,0.292,0.289,0.087,0.084,0.083,0.375,0.301,0.225,0.093,0.084,0.083,0.278,0.307,0.278,0.087,0.084,0.083,0.367,0.304,0.226,0.104,0.082,0.083,0.3,0.307,0.26,0.088,0.083,0.082,0.367,0.338,0.222
